date,close,high,low,open,volume,amount
23/6/17,3157.873,3158.0474,3118.0946,3138.4441,154843648,175568524171.00
22/6/17,3147.4532,3186.9823,3146.6432,3152.2424,191344006,220438439512.00
21/6/17,3156.2118,3157.0275,3132.6173,3148.9861,136688268,167048215951.00
20/6/17,3140.0136,3150.4646,3134.6106,3148.0187,141191802,162498014580.00
19/6/17,3144.3739,3146.7703,3121.7787,3122.1578,134891758,151741797886.00
16/6/17,3123.1662,3134.2511,3117.8567,3126.3728,129652758,149215477636.00
15/6/17,3132.4863,3137.5854,3117.084,3125.5865,146954245,171124529384.00
14/6/17,3130.674,3149.1731,3125.3546,3146.748,138347042,160641229612.00
13/6/17,3153.7429,3155.9895,3131.0431,3134.0089,128318279,148457870014.00
12/6/17,3139.8766,3164.9502,3135.314,3149.5266,146729425,170223276943.00
9/6/17,3158.4004,3165.9197,3146.1075,3147.4533,160136334,181584884790.00
8/6/17,3150.3336,3153.2635,3132.8278,3136.4705,152277659,178894298541.00
7/6/17,3140.3249,3140.7743,3098.9508,3101.7608,173229014,194287945514.00
6/6/17,3102.126,3102.8633,3078.7872,3084.5401,113439963,127804624246.00
5/6/17,3091.6561,3105.5056,3084.8301,3102.1095,132570300,143429802002.00
2/6/17,3105.54,3110.3891,3081.8485,3094.2253,142504925,154454347995.00
1/6/17,3102.6232,3113.5212,3097.6794,3108.4214,163015719,180782624777.00
31/5/17,3117.1778,3143.2787,3111.5563,3125.3252,152950430,177913309936.00
26/5/17,3110.0587,3120.6627,3100.3877,3101.2864,155923486,171327384644.00
25/5/17,3107.8311,3114.6578,3052.8309,3055.3425,191391841,201910125032.00
24/5/17,3064.0759,3064.8127,3022.3026,3047.5681,139813353,152669201599.00
23/5/17,3061.947,3084.2352,3050.8423,3069.3935,178310599,195073653676.00
22/5/17,3075.6756,3103.9375,3063.1529,3087.1705,153683730,170340982650.00
19/5/17,3090.6309,3095.4826,3081.278,3086.7054,129635230,150164226218.00
18/5/17,3090.139,3103.4413,3077.9631,3082.3288,148620035,168149514123.00
17/5/17,3104.4415,3119.5816,3101.2953,3107.802,168674158,194560594100.00
16/5/17,3112.9642,3113.5116,3060.5344,3082.8717,173775564,193292104557.00
15/5/17,3090.2289,3098.9125,3085.9319,3085.9319,135660728,158269607703.00
12/5/17,3083.5132,3090.4914,3051.8713,3054.1123,159684099,175107245752.00
11/5/17,3061.5003,3063.5637,3016.5305,3036.7891,191341901,197604070142.00
10/5/17,3052.785,3090.8191,3051.5896,3078.1728,160794452,181624151692.00
9/5/17,3080.5269,3084.2077,3056.558,3064.8484,135066674,152795901608.00
8/5/17,3078.6129,3093.4516,3067.6943,3090.0652,180526904,198171689423.00
5/5/17,3103.0378,3117.6141,3092.0918,3114.7735,176213641,200273908170.00
4/5/17,3127.3687,3143.8179,3111.3912,3127.1058,177967485,200170851568.00
3/5/17,3135.346,3148.2857,3123.7509,3138.3068,163763924,190236600690.00
2/5/17,3143.7121,3154.7812,3136.5391,3147.2275,154222962,176389916688.00
28/4/17,3154.6584,3154.7266,3136.5781,3144.0219,162889899,183195769806.00
27/4/17,3152.1869,3155.0033,3097.3334,3131.3496,211793073,235748319355.00
26/4/17,3140.8471,3152.9534,3131.418,3132.9181,169878107,197112873017.00
25/4/17,3134.5674,3145.2672,3117.4488,3123.8943,153418307,174129249619.00
24/4/17,3129.5312,3164.2479,3111.2145,3164.2479,186277434,197845253573.00
21/4/17,3173.1512,3180.7944,3158.6286,3170.2899,164761740,184131440700.00
20/4/17,3172.1003,3178.1826,3148.1844,3165.665,190873985,220098232749.00
19/4/17,3170.6867,3189.4368,3147.0655,3184.666,213238075,225806056521.00
18/4/17,3196.7133,3225.0546,3196.4884,3215.3963,188661353,211866767668.00
17/4/17,3222.1673,3229.9491,3199.9121,3229.9491,212737189,227214681389.00
14/4/17,3246.0668,3276.7112,3238.8959,3276.1381,214508558,224106679468.00
13/4/17,3275.9603,3281.1369,3261.4901,3265.2181,207346875,223287214710.00
12/4/17,3273.8301,3284.9338,3262.2773,3283.8369,269381790,311505523795.00
11/4/17,3288.9657,3290.3887,3244.4047,3266.2219,281281248,326622406900.00
10/4/17,3269.3926,3285.4594,3265.0121,3285.4594,232694616,279415195386.00
7/4/17,3286.616,3295.187,3275.0507,3280.6239,236108942,266738322876.00
6/4/17,3281.0047,3286.6739,3265.7645,3272.1926,245287999,262335587585.00
5/4/17,3270.3054,3270.6453,3233.2367,3235.6603,248320202,273201155674.00
31/3/17,3222.5142,3226.2483,3205.5365,3206.2529,196442922,214036159962.00
30/3/17,3210.2369,3240.0174,3195.8524,3235.1369,247135479,265694871643.00
29/3/17,3241.3144,3262.0976,3233.2795,3252.8653,216105575,245371852620.00
28/3/17,3252.9479,3265.6344,3246.0861,3265.6344,161710013,203452481772.00
27/3/17,3266.9552,3283.2393,3262.1184,3268.924,201852675,249185540341.00
24/3/17,3269.4451,3275.2066,3241.1233,3247.3495,219777914,267094164316.00
23/3/17,3248.5495,3262.0914,3221.9344,3245.8078,193029144,258246691000.00
22/3/17,3245.2198,3255.7779,3229.1283,3246.2233,189731649,244545459041.00
21/3/17,3261.6108,3262.2209,3246.6959,3250.2473,162719306,219121269782.00
20/3/17,3250.8082,3251.1271,3228.1177,3241.1101,170548430,213951759502.00
17/3/17,3237.4471,3274.1903,3232.2806,3271.8665,200583223,262184046475.00
16/3/17,3268.9354,3269.77,3247.1628,3247.1628,189416002,244508344465.00
15/3/17,3241.7597,3243.713,3227.7377,3235.403,144055682,185727250364.00
14/3/17,3239.3278,3246.3285,3231.5209,3235.2515,146946022,191535126691.00
13/3/17,3237.0244,3237.1212,3193.1565,3209.4492,163673760,206919741904.00
10/3/17,3212.7601,3222.3189,3208.4472,3213.7294,136672743,173663170235.00
9/3/17,3216.7457,3233.8749,3205.2794,3233.7007,167371108,199217646811.00
8/3/17,3240.6646,3245.3043,3230.6083,3240.5323,160731388,198225782571.00
7/3/17,3242.4063,3242.6591,3226.8219,3233.0939,164064235,209931208364.00
