date,close,high,low,open,volume,amount
23/6/17,3622.8831,3623.2352,3569.3225,3583.4359,10512913400.00,133975111796.00
22/6/17,3590.3425,3635.5273,3581.3375,3583.5583,13552698700.00,169418803351.00
21/6/17,3587.955,3587.9863,3545.5666,3567.1256,8785982400.00,117147797136.00
20/6/17,3546.494,3563.6964,3539.5149,3560.7871,8050955900.00,98187595478.30
19/6/17,3553.6653,3554.91,3520.0602,3520.0602,7979714100.00,98572358252.00
16/6/17,3518.7611,3536.1401,3514.3892,3522.9745,7645270700.00,91462286376.50
15/6/17,3528.7926,3542.2796,3508.9461,3530.7465,8263253500.00,106053901141.00
14/6/17,3535.2987,3571.2483,3530.274,3571.2483,8381078300.00,106105319868.00
13/6/17,3582.2674,3584.4094,3559.2134,3569.1594,7517713800.00,94223084812.30
12/6/17,3574.3894,3603.6901,3565.9012,3570.2191,9038116700.00,117690802224.00
9/6/17,3576.1703,3590.8872,3560.6336,3561.2411,10118826500.00,121700586716.00
8/6/17,3560.9786,3562.2724,3528.179,3531.2419,9022490500.00,112035619671.00
7/6/17,3533.8718,3537.0947,3491.1328,3493.8846,10441996800.00,124189288483.00
6/6/17,3492.8816,3492.8816,3460.4534,3464.3765,6408938800.00,77868793729.60
5/6/17,3468.7538,3484.1244,3462.3144,3480.1692,7973815200.00,85609467477.10
2/6/17,3486.5074,3498.1189,3470.2017,3491.5893,8266801000.00,92850747181.00
1/6/17,3497.7382,3499.8142,3476.4283,3485.2223,10312772400.00,116088766249.00
31/5/17,3492.8845,3515.0812,3474.9215,3495.073,10482974400.00,115968725310.00
26/5/17,3480.4345,3498.3148,3473.04,3479.6206,10324115300.00,112585907354.00
25/5/17,3485.6581,3490.4176,3413.2246,3414.3992,13072163100.00,136634020807.00
24/5/17,3424.1669,3424.1669,3383.8922,3409.7169,8355316100.00,92620045547.90
23/5/17,3424.194,3434.7662,3401.5338,3405.0254,11691103300.00,126767856025.00
22/5/17,3411.2387,3424.1776,3391.1748,3400.5882,9253955900.00,99021121578.00
19/5/17,3403.8492,3405.9448,3392.3776,3395.2318,7147352500.00,78397081602.20
18/5/17,3398.1127,3409.9319,3383.935,3387.6655,8575958900.00,88091166041.40
17/5/17,3409.9656,3433.9695,3408.1541,3423.19,9973683700.00,110553451835.00
16/5/17,3428.6491,3428.8531,3373.552,3390.925,10524241600.00,112814103201.00
15/5/17,3399.1937,3406.581,3391.5881,3391.5881,8297761100.00,92183332845.40
12/5/17,3385.3787,3387.2677,3349.1671,3350.9371,9338646600.00,97522124594.30
11/5/17,3356.6459,3359.6003,3312.8921,3322.9455,10925289000.00,111576379054.00
10/5/17,3337.7007,3369.4345,3336.003,3350.6502,9208262800.00,102194980791.00
9/5/17,3352.5324,3358.0463,3327.5901,3342.5981,7677166800.00,85528831748.90
8/5/17,3358.8125,3374.1571,3339.5743,3369.1084,12374928700.00,126885426472.00
5/5/17,3382.5502,3395.4532,3366.5568,3393.4831,10989533300.00,117464939578.00
4/5/17,3404.3864,3421.3953,3391.277,3404.9379,10348207500.00,106985952575.00
3/5/17,3413.1282,3432.2248,3403.0782,3421.7586,9166962400.00,97854119098.40
2/5/17,3426.5766,3436.3064,3418.6652,3427.9169,9279746200.00,101635858602.00
28/4/17,3439.753,3439.904,3417.2375,3439.5735,10163235100.00,113761006698.00
27/4/17,3446.7202,3449.2723,3399.5392,3435.1017,12329842500.00,134610947828.00
26/4/17,3445.1832,3466.5651,3439.1505,3440.2526,11194002900.00,131316579234.00
25/4/17,3440.9743,3449.6716,3422.6521,3427.7322,9407214800.00,107599357209.00
24/4/17,3431.2587,3458.2279,3403.9792,3458.2279,11466079100.00,122778154321.00
21/4/17,3466.7865,3475.5622,3449.5421,3461.389,10441911000.00,115208831746.00
20/4/17,3461.5481,3465.6088,3440.7151,3444.5225,11418420800.00,133977258346.00
19/4/17,3445.8761,3459.3524,3418.514,3452.9904,12134926400.00,127050362407.00
18/4/17,3462.7429,3489.0845,3462.6297,3474.8892,11092782300.00,126790853425.00
17/4/17,3479.9417,3480.5696,3453.6759,3475.7381,11716496100.00,123884371227.00
14/4/17,3486.5045,3517.4664,3476.9468,3516.8103,13547407800.00,130425385379.00
13/4/17,3514.5662,3518.4385,3496.5699,3500.2838,12998181300.00,133345929014.00
12/4/17,3509.4387,3523.0975,3497.9991,3514.5723,18182453700.00,202154571423.00
11/4/17,3517.328,3520.1315,3466.139,3503.8294,16594583200.00,189457268655.00
10/4/17,3505.1392,3522.7955,3502.0826,3519.4597,14188738000.00,155747834572.00
7/4/17,3517.4634,3526.815,3506.3885,3514.4521,14029320400.00,144559675566.00
6/4/17,3514.0469,3517.7779,3495.7246,3507.9879,13676700400.00,145221644165.00
5/4/17,3503.8932,3504.5379,3475.1486,3476.4231,14339901700.00,160742981172.00
31/3/17,3456.0455,3456.3051,3430.8197,3434.8222,9157749100.00,100984904830.00
30/3/17,3436.758,3467.3049,3422.366,3461.6159,11637692200.00,122088021630.00
29/3/17,3465.1933,3483.0571,3455.5529,3472.9665,10485170600.00,114663468279.00
28/3/17,3469.8093,3482.2923,3461.4678,3480.249,8419482000.00,97495938764.90
27/3/17,3478.0385,3505.9789,3474.5206,3488.7647,10701537700.00,124388012134.00
24/3/17,3489.5997,3499.3179,3461.1108,3464.1966,12564583300.00,141752526681.00
23/3/17,3461.9782,3470.8164,3435.6912,3452.4056,9431806200.00,115813813702.00
22/3/17,3450.0502,3464.3328,3433.4994,3450.7544,10493589400.00,123865640376.00
21/3/17,3466.3468,3466.7026,3445.6416,3449.7696,8770785500.00,113528201390.00
20/3/17,3449.6126,3454.063,3429.8254,3449.0515,8873432200.00,103769403896.00
17/3/17,3445.8051,3488.4969,3441.4685,3485.3114,10375556000.00,122368918550.00
16/3/17,3481.5066,3492.1267,3472.2694,3472.2694,10633391300.00,124695573677.00
15/3/17,3463.6436,3463.9191,3445.2676,3452.2139,7910495400.00,94056256666.80
14/3/17,3456.6934,3465.3915,3448.9034,3456.6584,7707796300.00,95317564129.40
13/3/17,3458.098,3458.098,3412.6879,3425.6723,9168412400.00,108489140923.00
10/3/17,3427.8916,3436.2388,3423.9369,3423.9776,7001619900.00,82161714922.60
9/3/17,3426.9438,3443.0455,3414.6782,3442.8953,8457038100.00,90090049489.80
8/3/17,3448.7313,3457.0351,3441.2575,3452.2006,7958769000.00,89124904682.20
7/3/17,3453.9565,3454.0386,3440.0574,3446.1628,8033472000.00,94483824245.10
6/3/17,3446.484,3449.0342,3425.9041,3427.2533,8307088200.00,95178548495.50
3/3/17,3427.8628,3428.8824,3412.8312,3424.6627,8099465200.00,90009618835.20
2/3/17,3435.0963,3468.471,3434.001,3463.4829,8989807700.00,97876187925.20
